EfficientNet-B4 Model Parameter Summary
Input resolution: 380x380, Classes: 8, Meta features: 15
Generated by model_summary.py

==============================================================================================================
  Variant 1 — Transfer learning, no MetaBlock, 8 classes
==============================================================================================================
Layer                                                        Output Shape                  Params  Trainable
model.features.4.5.block.2.fc2                               (1, 672, 1, 1)                19,488     19,488
model.features.4.5.block.2.scale_activation                  (1, 672, 1, 1)                     0          0
model.features.4.5.block.3.0                                 (1, 112, 24, 24)              75,264     75,264
model.features.4.5.block.3.1                                 (1, 112, 24, 24)                 224        224
model.features.4.5.stochastic_depth                          (1, 112, 24, 24)                   0          0
model.features.5.0.block.0.0                                 (1, 672, 24, 24)              75,264     75,264
model.features.5.0.block.0.1                                 (1, 672, 24, 24)               1,344      1,344
model.features.5.0.block.0.2                                 (1, 672, 24, 24)                   0          0
model.features.5.0.block.1.0                                 (1, 672, 24, 24)              16,800     16,800
model.features.5.0.block.1.1                                 (1, 672, 24, 24)               1,344      1,344
model.features.5.0.block.1.2                                 (1, 672, 24, 24)                   0          0
model.features.5.0.block.2.avgpool                           (1, 672, 1, 1)                     0          0
model.features.5.0.block.2.fc1                               (1, 28, 1, 1)                 18,844     18,844
model.features.5.0.block.2.activation                        (1, 28, 1, 1)                      0          0
model.features.5.0.block.2.fc2                               (1, 672, 1, 1)                19,488     19,488
model.features.5.0.block.2.scale_activation                  (1, 672, 1, 1)                     0          0
model.features.5.0.block.3.0                                 (1, 160, 24, 24)             107,520    107,520
model.features.5.0.block.3.1                                 (1, 160, 24, 24)                 320        320
model.features.5.1.block.0.0                                 (1, 960, 24, 24)             153,600    153,600
model.features.5.1.block.0.1                                 (1, 960, 24, 24)               1,920      1,920
model.features.5.1.block.0.2                                 (1, 960, 24, 24)                   0          0
model.features.5.1.block.1.0                                 (1, 960, 24, 24)              24,000     24,000
model.features.5.1.block.1.1                                 (1, 960, 24, 24)               1,920      1,920
model.features.5.1.block.1.2                                 (1, 960, 24, 24)                   0          0
model.features.5.1.block.2.avgpool                           (1, 960, 1, 1)                     0          0
model.features.5.1.block.2.fc1                               (1, 40, 1, 1)                 38,440     38,440
model.features.5.1.block.2.activation                        (1, 40, 1, 1)                      0          0
model.features.5.1.block.2.fc2                               (1, 960, 1, 1)                39,360     39,360
model.features.5.1.block.2.scale_activation                  (1, 960, 1, 1)                     0          0
model.features.5.1.block.3.0                                 (1, 160, 24, 24)             153,600    153,600
model.features.5.1.block.3.1                                 (1, 160, 24, 24)                 320        320
model.features.5.1.stochastic_depth                          (1, 160, 24, 24)                   0          0
model.features.5.2.block.0.0                                 (1, 960, 24, 24)             153,600    153,600
model.features.5.2.block.0.1                                 (1, 960, 24, 24)               1,920      1,920
model.features.5.2.block.0.2                                 (1, 960, 24, 24)                   0          0
model.features.5.2.block.1.0                                 (1, 960, 24, 24)              24,000     24,000
model.features.5.2.block.1.1                                 (1, 960, 24, 24)               1,920      1,920
model.features.5.2.block.1.2                                 (1, 960, 24, 24)                   0          0
model.features.5.2.block.2.avgpool                           (1, 960, 1, 1)                     0          0
model.features.5.2.block.2.fc1                               (1, 40, 1, 1)                 38,440     38,440
model.features.5.2.block.2.activation                        (1, 40, 1, 1)                      0          0
model.features.5.2.block.2.fc2                               (1, 960, 1, 1)                39,360     39,360
model.features.5.2.block.2.scale_activation                  (1, 960, 1, 1)                     0          0
model.features.5.2.block.3.0                                 (1, 160, 24, 24)             153,600    153,600
model.features.5.2.block.3.1                                 (1, 160, 24, 24)                 320        320
model.features.5.2.stochastic_depth                          (1, 160, 24, 24)                   0          0
model.features.5.3.block.0.0                                 (1, 960, 24, 24)             153,600    153,600
model.features.5.3.block.0.1                                 (1, 960, 24, 24)               1,920      1,920
model.features.5.3.block.0.2                                 (1, 960, 24, 24)                   0          0
model.features.5.3.block.1.0                                 (1, 960, 24, 24)              24,000     24,000
model.features.5.3.block.1.1                                 (1, 960, 24, 24)               1,920      1,920
model.features.5.3.block.1.2                                 (1, 960, 24, 24)                   0          0
model.features.5.3.block.2.avgpool                           (1, 960, 1, 1)                     0          0
model.features.5.3.block.2.fc1                               (1, 40, 1, 1)                 38,440     38,440
model.features.5.3.block.2.activation                        (1, 40, 1, 1)                      0          0
model.features.5.3.block.2.fc2                               (1, 960, 1, 1)                39,360     39,360
model.features.5.3.block.2.scale_activation                  (1, 960, 1, 1)                     0          0
model.features.5.3.block.3.0                                 (1, 160, 24, 24)             153,600    153,600
model.features.5.3.block.3.1                                 (1, 160, 24, 24)                 320        320
model.features.5.3.stochastic_depth                          (1, 160, 24, 24)                   0          0
model.features.5.4.block.0.0                                 (1, 960, 24, 24)             153,600    153,600
model.features.5.4.block.0.1                                 (1, 960, 24, 24)               1,920      1,920
model.features.5.4.block.0.2                                 (1, 960, 24, 24)                   0          0
model.features.5.4.block.1.0                                 (1, 960, 24, 24)              24,000     24,000
model.features.5.4.block.1.1                                 (1, 960, 24, 24)               1,920      1,920
model.features.5.4.block.1.2                                 (1, 960, 24, 24)                   0          0
model.features.5.4.block.2.avgpool                           (1, 960, 1, 1)                     0          0
model.features.5.4.block.2.fc1                               (1, 40, 1, 1)                 38,440     38,440
model.features.5.4.block.2.activation                        (1, 40, 1, 1)                      0          0
model.features.5.4.block.2.fc2                               (1, 960, 1, 1)                39,360     39,360
model.features.5.4.block.2.scale_activation                  (1, 960, 1, 1)                     0          0
model.features.5.4.block.3.0                                 (1, 160, 24, 24)             153,600    153,600
model.features.5.4.block.3.1                                 (1, 160, 24, 24)                 320        320
model.features.5.4.stochastic_depth                          (1, 160, 24, 24)                   0          0
model.features.5.5.block.0.0                                 (1, 960, 24, 24)             153,600    153,600
model.features.5.5.block.0.1                                 (1, 960, 24, 24)               1,920      1,920
model.features.5.5.block.0.2                                 (1, 960, 24, 24)                   0          0
model.features.5.5.block.1.0                                 (1, 960, 24, 24)              24,000     24,000
model.features.5.5.block.1.1                                 (1, 960, 24, 24)               1,920      1,920
